Div,Date,HomeTeam,AwayTeam,Referee,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,season,source_file,Time,AvgH,AvgD,AvgA,MaxH,MaxD,MaxA,kickoff,match_id,home_win,draw,away_win,total_goals,over_2_5,total_corners,total_sot,total_fouls,total_cards,kickoff_dt,total_shots_on_target,elo_home,elo_away,elo_diff,home_goals_for_roll3,home_goals_against_roll3,away_goals_for_roll3,away_goals_against_roll3,diff_goals_for_roll3,diff_goals_against_roll3,home_goals_for_roll5,home_goals_against_roll5,away_goals_for_roll5,away_goals_against_roll5,diff_goals_for_roll5,diff_goals_against_roll5,home_goals_for_roll10,home_goals_against_roll10,away_goals_for_roll10,away_goals_against_roll10,diff_goals_for_roll10,diff_goals_against_roll10,home_corners_for_roll3,home_corners_against_roll3,away_corners_for_roll3,away_corners_against_roll3,diff_corners_for_roll3,diff_corners_against_roll3,home_corners_for_roll5,home_corners_against_roll5,away_corners_for_roll5,away_corners_against_roll5,diff_corners_for_roll5,diff_corners_against_roll5,home_corners_for_roll10,home_corners_against_roll10,away_corners_for_roll10,away_corners_against_roll10,diff_corners_for_roll10,diff_corners_against_roll10,home_fouls_for_roll3,home_fouls_against_roll3,away_fouls_for_roll3,away_fouls_against_roll3,diff_fouls_for_roll3,diff_fouls_against_roll3,home_fouls_for_roll5,home_fouls_against_roll5,away_fouls_for_roll5,away_fouls_against_roll5,diff_fouls_for_roll5,diff_fouls_against_roll5,home_fouls_for_roll10,home_fouls_against_roll10,away_fouls_for_roll10,away_fouls_against_roll10,diff_fouls_for_roll10,diff_fouls_against_roll10,home_yellow_for_roll3,home_yellow_against_roll3,away_yellow_for_roll3,away_yellow_against_roll3,diff_yellow_for_roll3,diff_yellow_against_roll3,home_yellow_for_roll5,home_yellow_against_roll5,away_yellow_for_roll5,away_yellow_against_roll5,diff_yellow_for_roll5,diff_yellow_against_roll5,home_yellow_for_roll10,home_yellow_against_roll10,away_yellow_for_roll10,away_yellow_against_roll10,diff_yellow_for_roll10,diff_yellow_against_roll10,home_shotsot_for_roll3,home_shotsot_against_roll3,away_shotsot_for_roll3,away_shotsot_against_roll3,diff_shotsot_for_roll3,diff_shotsot_against_roll3,home_shotsot_for_roll5,home_shotsot_against_roll5,away_shotsot_for_roll5,away_shotsot_against_roll5,diff_shotsot_for_roll5,diff_shotsot_against_roll5,home_shotsot_for_roll10,home_shotsot_against_roll10,away_shotsot_for_roll10,away_shotsot_against_roll10,diff_shotsot_for_roll10,diff_shotsot_against_roll10
E0,2025-08-15,Liverpool,Bournemouth,A Taylor,4,2,H,1,0,19,10,10,3,7,10,6,7,1,2,0,0,2025-26,EPL_2025-26.csv,20:00,1.31,5.96,8.31,1.34,6.5,9.5,2025-08-15 20:00:00,20250815_liverpool_bournemouth,1,0,0,6,1,13,13.0,17,3,2025-08-15,13,1500.0,1500.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,2025-08-16,Aston Villa,Newcastle,C Pawson,0,0,D,0,0,3,16,3,3,13,11,3,6,1,1,1,0,2025-26,EPL_2025-26.csv,12:30,2.3,3.56,2.94,2.38,3.75,3.1,2025-08-16 12:30:00,20250816_astonvilla_newcastle,0,1,0,0,0,9,6.0,24,2,2025-08-16,6,1500.0,1500.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,2025-08-16,Brighton,Fulham,S Barrott,1,1,D,0,0,10,7,4,2,16,15,4,3,3,3,0,0,2025-26,EPL_2025-26.csv,15:00,1.92,3.62,3.91,1.95,3.75,4.0,2025-08-16 15:00:00,20250816_brighton_fulham,0,1,0,2,0,7,6.0,31,6,2025-08-16,6,1500.0,1500.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,2025-08-16,Sunderland,West Ham,R Jones,3,0,H,0,0,10,12,5,4,8,10,5,7,0,1,0,0,2025-26,EPL_2025-26.csv,15:00,3.17,3.38,2.26,3.25,3.5,2.3,2025-08-16 15:00:00,20250816_sunderland_westham,1,0,0,3,1,12,9.0,18,1,2025-08-16,9,1500.0,1500.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,2025-08-16,Tottenham,Burnley,M Oliver,3,0,H,1,0,16,14,6,4,14,8,6,5,0,0,0,0,2025-26,EPL_2025-26.csv,15:00,1.37,4.8,8.3,1.4,5.0,9.5,2025-08-16 15:00:00,20250816_tottenham_burnley,1,0,0,3,1,11,10.0,22,0,2025-08-16,10,1500.0,1500.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,2025-08-16,Wolves,Man City,J Gillett,0,4,A,0,2,9,15,3,4,13,7,4,6,1,2,0,0,2025-26,EPL_2025-26.csv,17:30,6.73,4.73,1.44,7.5,5.0,1.48,2025-08-16 17:30:00,20250816_wolves_mancity,0,0,1,4,1,10,7.0,20,3,2025-08-16,7,1500.0,1500.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,2025-08-17,Chelsea,Crystal Palace,D England,0,0,D,0,0,19,12,3,4,10,12,11,2,2,3,0,0,2025-26,EPL_2025-26.csv,14:00,1.61,4.21,5.08,1.64,4.35,5.5,2025-08-17 14:00:00,20250817_chelsea_crystalpalace,0,1,0,0,0,13,7.0,22,5,2025-08-17,7,1500.0,1500.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,2025-08-17,Nott'm Forest,Brentford,P Bankes,3,1,H,3,0,11,10,5,3,7,15,5,5,1,2,0,0,2025-26,EPL_2025-26.csv,14:00,2.15,3.36,3.43,2.2,3.5,3.55,2025-08-17 14:00:00,20250817_nott'mforest_brentford,1,0,0,4,1,10,8.0,22,3,2025-08-17,8,1500.0,1500.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,2025-08-17,Man United,Arsenal,S Hooper,0,1,A,0,1,22,9,7,3,10,19,3,4,1,4,0,0,2025-26,EPL_2025-26.csv,16:30,3.57,3.56,2.01,3.75,3.66,2.1,2025-08-17 16:30:00,20250817_manunited_arsenal,0,0,1,1,0,7,10.0,29,5,2025-08-17,10,1500.0,1500.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,2025-08-18,Leeds,Everton,C Kavanagh,1,0,H,0,0,21,7,3,1,6,8,7,2,0,2,0,0,2025-26,EPL_2025-26.csv,20:00,2.39,3.29,2.96,2.5,3.5,3.05,2025-08-18 20:00:00,20250818_leeds_everton,1,0,0,1,0,9,4.0,14,2,2025-08-18,4,1500.0,1500.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
