Div,Date,HomeTeam,AwayTeam,Referee,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,season,source_file,Time,AvgH,AvgD,AvgA,MaxH,MaxD,MaxA,kickoff,match_id,home_win,draw,away_win,total_goals,over_2_5,total_corners,total_shots,total_fouls,total_cards,HomeTeam_std,AwayTeam_std,kickoff_dt,HomeCoach,AwayCoach,HomeCoachTenureDays,AwayCoachTenureDays,HomeCoachTenure_log1p,AwayCoachTenure_log1p,CoachTenureDiff,NewHomeCoach_30,NewAwayCoach_30,NewHomeCoach_60,NewAwayCoach_60,NewHomeCoach_90,NewAwayCoach_90,total_shots_on_target,elo_home,elo_away,elo_diff,ref_matches_count_last20,ref_cards_avg_last20,ref_fouls_avg_last20,ref_unknown,home_goals_for_roll3,home_goals_against_roll3,away_goals_for_roll3,away_goals_against_roll3,diff_goals_for_roll3,diff_goals_against_roll3,home_goals_for_roll5,home_goals_against_roll5,away_goals_for_roll5,away_goals_against_roll5,diff_goals_for_roll5,diff_goals_against_roll5,home_goals_for_roll10,home_goals_against_roll10,away_goals_for_roll10,away_goals_against_roll10,diff_goals_for_roll10,diff_goals_against_roll10,home_corners_for_roll3,home_corners_against_roll3,away_corners_for_roll3,away_corners_against_roll3,diff_corners_for_roll3,diff_corners_against_roll3,home_corners_for_roll5,home_corners_against_roll5,away_corners_for_roll5,away_corners_against_roll5,diff_corners_for_roll5,diff_corners_against_roll5,home_corners_for_roll10,home_corners_against_roll10,away_corners_for_roll10,away_corners_against_roll10,diff_corners_for_roll10,diff_corners_against_roll10,home_fouls_for_roll3,home_fouls_against_roll3,away_fouls_for_roll3,away_fouls_against_roll3,diff_fouls_for_roll3,diff_fouls_against_roll3,home_fouls_for_roll5,home_fouls_against_roll5,away_fouls_for_roll5,away_fouls_against_roll5,diff_fouls_for_roll5,diff_fouls_against_roll5,home_fouls_for_roll10,home_fouls_against_roll10,away_fouls_for_roll10,away_fouls_against_roll10,diff_fouls_for_roll10,diff_fouls_against_roll10,home_yellow_for_roll3,home_yellow_against_roll3,away_yellow_for_roll3,away_yellow_against_roll3,diff_yellow_for_roll3,diff_yellow_against_roll3,home_yellow_for_roll5,home_yellow_against_roll5,away_yellow_for_roll5,away_yellow_against_roll5,diff_yellow_for_roll5,diff_yellow_against_roll5,home_yellow_for_roll10,home_yellow_against_roll10,away_yellow_for_roll10,away_yellow_against_roll10,diff_yellow_for_roll10,diff_yellow_against_roll10,home_shotsot_for_roll3,home_shotsot_against_roll3,away_shotsot_for_roll3,away_shotsot_against_roll3,diff_shotsot_for_roll3,diff_shotsot_against_roll3,home_shotsot_for_roll5,home_shotsot_against_roll5,away_shotsot_for_roll5,away_shotsot_against_roll5,diff_shotsot_for_roll5,diff_shotsot_against_roll5,home_shotsot_for_roll10,home_shotsot_against_roll10,away_shotsot_for_roll10,away_shotsot_against_roll10,diff_shotsot_for_roll10,diff_shotsot_against_roll10,home_points_roll3,away_points_roll3,diff_points_roll3,home_points_roll5,away_points_roll5,diff_points_roll5,home_points_roll10,away_points_roll10,diff_points_roll10,home_form_home_roll5,away_form_away_roll5,diff_form_ha_roll5,home_form_home_roll10,away_form_away_roll10,diff_form_ha_roll10,home_table_pos,away_table_pos,home_table_points,away_table_points,table_pos_diff,table_points_diff,home_days_rest,away_days_rest,days_rest_diff,is_midweek
E0,2016-08-13,Burnley,Swansea,J Moss,0,1,A,0,0,10,17,3,9,10,14,7,4,3,2,0,0,2016-17,EPL_2016-17.csv,00:00,,,,,,,2016-08-13 00:00:00,20160813_burnley_swansea,0,0,1,1,0,11,27.0,24,5,Burnley,Swansea City,2016-08-13,Sean Dyche,Francesco Guidolin,409.0,208.0,6.016157159698354,5.342334251964811,201.0,0,0,0,0,0,0,12,1500.0,1500.0,50.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,14,0,0,3,0,,,,0
E0,2016-08-13,Crystal Palace,West Brom,C Pawson,0,1,A,0,0,14,13,4,3,12,15,3,6,2,2,0,0,2016-17,EPL_2016-17.csv,00:00,,,,,,,2016-08-13 00:00:00,20160813_crystalpalace_westbrom,0,0,1,1,0,9,27.0,27,4,Crystal Palace,West Bromwich Albion,2016-08-13,Alan Pardew,Tony Pulis,409.0,409.0,6.016157159698354,6.016157159698354,0.0,0,0,0,0,0,0,7,1500.0,1500.0,50.0,0.0,5.0,24.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,20,0,0,-6,0,,,,0
E0,2016-08-13,Everton,Tottenham,M Atkinson,1,1,D,1,0,12,13,6,4,10,14,5,6,0,0,0,0,2016-17,EPL_2016-17.csv,00:00,,,,,,,2016-08-13 00:00:00,20160813_everton_tottenham,0,1,0,2,0,11,25.0,24,0,Everton,Tottenham Hotspur,2016-08-13,Ronald Koeman,Mauricio Pochettino,60.0,409.0,4.110873864173311,6.016157159698354,-349.0,0,0,1,0,1,0,10,1500.0,1500.0,50.0,0.0,4.5,25.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,20,0,0,-8,0,,,,0
E0,2016-08-13,Hull,Leicester,M Dean,2,1,H,1,0,14,18,5,5,8,17,5,3,2,2,0,0,2016-17,EPL_2016-17.csv,00:00,,,,,,,2016-08-13 00:00:00,20160813_hull_leicester,1,0,0,3,1,8,32.0,25,4,Hull City,Leicester City,2016-08-13,Mike Phelan,Claudio Ranieri,22.0,397.0,3.1354942159291497,5.986452005284438,-375.0,1,0,1,0,1,0,10,1500.0,1500.0,50.0,0.0,4.0,24.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,0,0,-5,0,,,,0
E0,2016-08-13,Man City,Sunderland,R Madley,2,1,H,1,0,16,7,4,3,11,14,9,6,1,2,0,0,2016-17,EPL_2016-17.csv,00:00,,,,,,,2016-08-13 00:00:00,20160813_mancity_sunderland,1,0,0,3,1,15,23.0,25,3,Manchester City,Sunderland,2016-08-13,Pep Guardiola,David Moyes,43.0,21.0,3.784189633918261,3.091042453358316,22.0,0,1,1,1,1,1,7,1500.0,1500.0,50.0,0.0,4.0,24.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,9,0,0,5,0,,,,0
E0,2016-08-13,Middlesbrough,Stoke,K Friend,1,1,D,1,0,12,12,2,1,18,14,9,6,3,5,0,0,2016-17,EPL_2016-17.csv,00:00,,,,,,,2016-08-13 00:00:00,20160813_middlesbrough_stoke,0,1,0,2,0,15,24.0,32,8,Middlesbrough,Stoke City,2016-08-13,Aitor Karanka,Mark Hughes,409.0,409.0,6.016157159698354,6.016157159698354,0.0,0,0,0,0,0,0,3,1500.0,1500.0,50.0,0.0,4.0,25.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,20,0,0,-12,0,,,,0
E0,2016-08-13,Southampton,Watford,R East,1,1,D,0,1,24,5,6,1,8,12,6,2,1,2,0,1,2016-17,EPL_2016-17.csv,00:00,,,,,,,2016-08-13 00:00:00,20160813_southampton_watford,0,1,0,2,0,8,29.0,20,3,Southampton,Watford,2016-08-13,Claude Puel,Walter Mazzarri,44.0,43.0,3.80666248977032,3.784189633918261,1.0,0,0,1,1,1,1,7,1500.0,1500.0,50.0,0.0,4.0,25.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,10,0,0,6,0,,,,0
E0,2016-08-14,Arsenal,Liverpool,M Oliver,3,4,A,1,1,9,16,5,7,13,17,5,4,3,3,0,0,2016-17,EPL_2016-17.csv,00:00,,,,,,,2016-08-14 00:00:00,20160814_arsenal_liverpool,0,0,1,7,1,9,25.0,30,6,Arsenal,Liverpool,2016-08-14,Arsène Wenger,Jürgen Klopp,410.0,311.0,6.018593214496234,5.7430031878094825,99.0,0,0,0,0,0,0,12,1500.0,1500.0,50.0,0.0,4.0,25.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,15,0,0,-1,0,,,,0
E0,2016-08-14,Bournemouth,Man United,A Marriner,1,3,A,0,1,9,11,3,7,7,10,4,2,0,1,0,0,2016-17,EPL_2016-17.csv,00:00,,,,,,,2016-08-14 00:00:00,20160814_bournemouth_manunited,0,0,1,4,1,6,20.0,17,1,Bournemouth,Manchester United,2016-08-14,Eddie Howe,José Mourinho,410.0,79.0,6.018593214496234,4.382026634673881,331.0,0,0,0,0,0,1,10,1500.0,1500.0,50.0,0.0,4.0,25.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,12,0,0,7,0,,,,0
E0,2016-08-15,Chelsea,West Ham,A Taylor,2,1,H,0,0,16,7,6,3,16,16,7,1,5,2,0,0,2016-17,EPL_2016-17.csv,00:00,,,,,,,2016-08-15 00:00:00,20160815_chelsea_westham,1,0,0,3,1,8,23.0,32,7,Chelsea,West Ham United,2016-08-15,Antonio Conte,Slaven Bilić,43.0,411.0,3.784189633918261,6.021023349349527,-368.0,0,0,1,0,1,0,9,1500.0,1500.0,50.0,0.0,4.0,25.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18,0,0,-2,0,,,,0
