Div,Date,HomeTeam,AwayTeam,Referee,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,season,source_file,Time,AvgH,AvgD,AvgA,MaxH,MaxD,MaxA
E0,13/08/16,Burnley,Swansea,J Moss,0,1,A,0,0,10,17,3,9,10,14,7,4,3,2,0,0,2016-17,EPL_2016-17.csv,,,,,,,
E0,13/08/16,Crystal Palace,West Brom,C Pawson,0,1,A,0,0,14,13,4,3,12,15,3,6,2,2,0,0,2016-17,EPL_2016-17.csv,,,,,,,
E0,13/08/16,Everton,Tottenham,M Atkinson,1,1,D,1,0,12,13,6,4,10,14,5,6,0,0,0,0,2016-17,EPL_2016-17.csv,,,,,,,
E0,13/08/16,Hull,Leicester,M Dean,2,1,H,1,0,14,18,5,5,8,17,5,3,2,2,0,0,2016-17,EPL_2016-17.csv,,,,,,,
E0,13/08/16,Man City,Sunderland,R Madley,2,1,H,1,0,16,7,4,3,11,14,9,6,1,2,0,0,2016-17,EPL_2016-17.csv,,,,,,,
E0,13/08/16,Middlesbrough,Stoke,K Friend,1,1,D,1,0,12,12,2,1,18,14,9,6,3,5,0,0,2016-17,EPL_2016-17.csv,,,,,,,
E0,13/08/16,Southampton,Watford,R East,1,1,D,0,1,24,5,6,1,8,12,6,2,1,2,0,1,2016-17,EPL_2016-17.csv,,,,,,,
E0,14/08/16,Arsenal,Liverpool,M Oliver,3,4,A,1,1,9,16,5,7,13,17,5,4,3,3,0,0,2016-17,EPL_2016-17.csv,,,,,,,
E0,14/08/16,Bournemouth,Man United,A Marriner,1,3,A,0,1,9,11,3,7,7,10,4,2,0,1,0,0,2016-17,EPL_2016-17.csv,,,,,,,
E0,15/08/16,Chelsea,West Ham,A Taylor,2,1,H,0,0,16,7,6,3,16,16,7,1,5,2,0,0,2016-17,EPL_2016-17.csv,,,,,,,
E0,19/08/16,Man United,Southampton,A Taylor,2,0,H,1,0,12,13,5,1,11,8,4,0,0,0,0,0,2016-17,EPL_2016-17.csv,,,,,,,
E0,20/08/16,Burnley,Liverpool,L Mason,2,0,H,2,0,3,26,2,5,14,5,1,12,0,1,0,0,2016-17,EPL_2016-17.csv,,,,,,,
E0,20/08/16,Leicester,Arsenal,M Clattenburg,0,0,D,0,0,8,13,1,4,11,7,2,7,1,2,0,0,2016-17,EPL_2016-17.csv,,,,,,,
E0,20/08/16,Stoke,Man City,M Dean,1,4,A,0,2,8,12,3,6,12,13,7,7,3,4,0,0,2016-17,EPL_2016-17.csv,,,,,,,
E0,20/08/16,Swansea,Hull,S Attwell,0,2,A,0,0,13,12,3,4,7,10,8,3,0,0,0,0,2016-17,EPL_2016-17.csv,,,,,,,
E0,20/08/16,Tottenham,Crystal Palace,M Oliver,1,0,H,0,0,20,10,5,2,19,9,10,4,3,3,0,0,2016-17,EPL_2016-17.csv,,,,,,,
E0,20/08/16,Watford,Chelsea,J Moss,1,2,A,0,0,6,13,2,4,20,10,0,5,4,3,0,0,2016-17,EPL_2016-17.csv,,,,,,,
E0,20/08/16,West Brom,Everton,N Swarbrick,1,2,A,1,1,11,13,4,7,16,10,7,4,3,1,0,0,2016-17,EPL_2016-17.csv,,,,,,,
