Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,MaxH,MaxD,MaxA,kickoff,match_id,home_win,draw,away_win,total_goals,over_2_5,total_corners,total_cards,total_shots,total_fouls,home_goals_scored_avg,home_goals_conceded_avg,away_goals_scored_avg,away_goals_conceded_avg,goals_scored_diff,goals_conceded_diff
E0,2024-11-09,15:00,Brentford,Bournemouth,3,2,H,1,1,12,15,6,3,8,16,6,4,2,4,0,0,2.53,3.59,2.72,2.61,3.7,2.8,2024-11-09 15:00:00,20241109_brentford_bournemouth,1,0,0,5,1,10,6,27,24,3.0,1.8,1.0,1.6,2.0,-0.19999999999999996
E0,2024-11-09,15:00,Crystal Palace,Fulham,0,2,A,0,1,13,17,5,7,10,11,1,8,1,1,1,0,2.7,3.48,2.61,2.82,3.73,2.7,2024-11-09 15:00:00,20241109_crystalpalace_fulham,0,0,1,2,0,9,3,30,21,0.6,1.0,1.0,1.2,-0.4,0.19999999999999996
E0,2024-11-09,15:00,West Ham,Everton,0,0,D,0,0,11,18,6,4,10,9,7,6,1,2,0,0,2.18,3.47,3.38,2.23,3.71,3.5,2024-11-09 15:00:00,20241109_westham_everton,0,1,0,0,0,13,3,29,19,1.6,2.0,1.0,1.8,0.6000000000000001,-0.19999999999999996
E0,2024-11-09,15:00,Wolves,Southampton,2,0,H,1,0,8,9,4,0,14,12,1,9,1,4,0,0,1.96,3.84,3.67,2.01,4.13,3.8,2024-11-09 15:00:00,20241109_wolves_southampton,1,0,0,2,0,10,5,17,26,1.4,2.8,0.6,2.2,0.7999999999999999,-0.5999999999999996
E0,2024-11-09,17:30,Brighton,Man City,2,1,H,0,1,10,15,4,6,12,10,0,4,3,3,0,0,4.34,4.17,1.75,4.6,4.33,1.8,2024-11-09 17:30:00,20241109_brighton_mancity,1,0,0,3,1,4,6,25,22,1.8,1.4,1.8,1.0,0.0,-0.3999999999999999
E0,2024-11-09,20:00,Liverpool,Aston Villa,2,0,H,1,0,14,12,5,2,11,15,2,9,0,3,0,0,1.42,5.26,6.7,1.45,5.5,7.4,2024-11-09 20:00:00,20241109_liverpool_astonvilla,1,0,0,2,0,11,3,26,26,1.8,0.6,2.0,1.8,-0.19999999999999996,1.2000000000000002
E0,2024-11-10,14:00,Man United,Leicester,3,0,H,2,0,13,6,3,5,9,5,1,5,0,1,0,0,1.39,5.35,7.46,1.43,5.6,8.0,2024-11-10 14:00:00,20241110_manunited_leicester,1,0,0,3,1,6,1,19,14,0.8,1.6,1.8,2.2,-1.0,0.6000000000000001
E0,2024-11-10,14:00,Nott'm Forest,Newcastle,1,3,A,1,0,9,17,3,6,13,6,4,5,1,1,0,0,2.69,3.31,2.72,2.75,3.57,2.82,2024-11-10 14:00:00,20241110_nott'mforest_newcastle,0,0,1,4,1,9,2,26,19,1.2,0.6,1.0,1.4,0.19999999999999996,0.7999999999999999
E0,2024-11-10,14:00,Tottenham,Ipswich,1,2,A,0,2,17,8,5,3,10,19,12,2,1,5,0,0,1.26,6.76,9.98,1.27,7.3,11.0,2024-11-10 14:00:00,20241110_tottenham_ipswich,0,0,1,3,1,14,6,25,29,3.0,0.8,1.2,2.6,1.8,1.8
E0,2024-11-10,16:30,Chelsea,Arsenal,1,1,D,0,0,17,13,3,3,12,12,4,3,4,2,0,0,2.75,3.49,2.53,2.8,3.72,2.59,2024-11-10 16:30:00,20241110_chelsea_arsenal,0,1,0,2,0,7,6,30,24,1.6,1.4,1.0,1.0,0.6000000000000001,-0.3999999999999999
