Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,MaxH,MaxD,MaxA,kickoff,match_id,home_win,draw,away_win,total_goals,over_2_5,total_corners,total_cards,total_shots,total_fouls
E0,2024-08-16,20:00,Man United,Fulham,1,0,H,0,0,14,10,5,2,12,10,7,8,2,3,0,0,1.62,4.36,5.15,1.68,4.5,5.5,2024-08-16 20:00:00,20240816_manunited_fulham,1,0,0,1,0,15,5,24,22
E0,2024-08-17,12:30,Ipswich,Liverpool,0,2,A,0,0,7,18,2,5,9,18,2,10,3,1,0,0,8.28,5.76,1.34,9.0,6.1,1.37,2024-08-17 12:30:00,20240817_ipswich_liverpool,0,0,1,2,0,12,4,25,27
E0,2024-08-17,15:00,Arsenal,Wolves,2,0,H,1,0,18,9,6,3,17,14,8,2,2,2,0,0,1.18,7.86,15.87,1.2,9.1,18.0,2024-08-17 15:00:00,20240817_arsenal_wolves,1,0,0,2,0,10,4,27,31
E0,2024-08-17,15:00,Everton,Brighton,0,3,A,0,1,9,10,1,5,8,8,1,5,1,1,1,0,2.67,3.41,2.68,2.76,3.66,2.78,2024-08-17 15:00:00,20240817_everton_brighton,0,0,1,3,1,6,3,19,16
E0,2024-08-17,15:00,Newcastle,Southampton,1,0,H,1,0,3,19,1,4,15,16,3,12,2,4,1,0,1.35,5.62,8.1,1.37,5.9,8.6,2024-08-17 15:00:00,20240817_newcastle_southampton,1,0,0,1,0,15,7,22,31
E0,2024-08-17,15:00,Nott'm Forest,Bournemouth,1,1,D,1,0,14,13,8,4,17,8,2,6,1,3,0,0,2.45,3.49,2.89,2.51,3.7,3.0,2024-08-17 15:00:00,20240817_nott'mforest_bournemouth,0,1,0,2,0,8,4,27,25
E0,2024-08-17,17:30,West Ham,Aston Villa,1,2,A,1,1,14,15,3,3,18,11,5,3,1,2,0,0,2.44,3.69,2.79,2.49,3.91,2.87,2024-08-17 17:30:00,20240817_westham_astonvilla,0,0,1,3,1,8,3,29,29
E0,2024-08-18,14:00,Brentford,Crystal Palace,2,1,H,1,0,9,14,5,6,6,15,4,7,1,5,0,0,2.46,3.44,2.9,2.52,3.66,2.99,2024-08-18 14:00:00,20240818_brentford_crystalpalace,1,0,0,3,1,11,6,23,21
E0,2024-08-18,16:30,Chelsea,Man City,0,2,A,0,1,10,11,3,5,12,9,4,3,1,1,0,0,4.05,4.0,1.83,4.3,4.22,1.88,2024-08-18 16:30:00,20240818_chelsea_mancity,0,0,1,2,0,7,2,21,21
E0,2024-08-19,20:00,Leicester,Tottenham,1,1,D,0,1,7,15,3,7,11,12,2,13,1,1,0,0,5.01,4.37,1.63,5.3,4.52,1.67,2024-08-19 20:00:00,20240819_leicester_tottenham,0,1,0,2,0,15,2,22,23
