season,Div,Date,Time,kickoff,match_id,HomeTeam,AwayTeam,Referee,FTHG,FTAG,FTR,HTHG,HTAG,home_win,draw,away_win,total_goals,over_2_5,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,total_corners,total_cards,total_shots,total_fouls,AvgH,AvgD,AvgA,MaxH,MaxD,MaxA
2016-17,E0,2016-08-13,00:00,2016-08-13 00:00:00,20160813_burnley_swansea,Burnley,Swansea,J Moss,0,1,A,0,0,0,0,1,1,0,10,17,3,9,10,14,7,4,3,2,0,0,11,5,27,24,,,,,,
2016-17,E0,2016-08-13,00:00,2016-08-13 00:00:00,20160813_crystalpalace_westbrom,Crystal Palace,West Brom,C Pawson,0,1,A,0,0,0,0,1,1,0,14,13,4,3,12,15,3,6,2,2,0,0,9,4,27,27,,,,,,
2016-17,E0,2016-08-13,00:00,2016-08-13 00:00:00,20160813_everton_tottenham,Everton,Tottenham,M Atkinson,1,1,D,1,0,0,1,0,2,0,12,13,6,4,10,14,5,6,0,0,0,0,11,0,25,24,,,,,,
2016-17,E0,2016-08-13,00:00,2016-08-13 00:00:00,20160813_hull_leicester,Hull,Leicester,M Dean,2,1,H,1,0,1,0,0,3,1,14,18,5,5,8,17,5,3,2,2,0,0,8,4,32,25,,,,,,
2016-17,E0,2016-08-13,00:00,2016-08-13 00:00:00,20160813_mancity_sunderland,Man City,Sunderland,R Madley,2,1,H,1,0,1,0,0,3,1,16,7,4,3,11,14,9,6,1,2,0,0,15,3,23,25,,,,,,
2016-17,E0,2016-08-13,00:00,2016-08-13 00:00:00,20160813_middlesbrough_stoke,Middlesbrough,Stoke,K Friend,1,1,D,1,0,0,1,0,2,0,12,12,2,1,18,14,9,6,3,5,0,0,15,8,24,32,,,,,,
2016-17,E0,2016-08-13,00:00,2016-08-13 00:00:00,20160813_southampton_watford,Southampton,Watford,R East,1,1,D,0,1,0,1,0,2,0,24,5,6,1,8,12,6,2,1,2,0,1,8,4,29,20,,,,,,
2016-17,E0,2016-08-14,00:00,2016-08-14 00:00:00,20160814_arsenal_liverpool,Arsenal,Liverpool,M Oliver,3,4,A,1,1,0,0,1,7,1,9,16,5,7,13,17,5,4,3,3,0,0,9,6,25,30,,,,,,
2016-17,E0,2016-08-14,00:00,2016-08-14 00:00:00,20160814_bournemouth_manunited,Bournemouth,Man United,A Marriner,1,3,A,0,1,0,0,1,4,1,9,11,3,7,7,10,4,2,0,1,0,0,6,1,20,17,,,,,,
2016-17,E0,2016-08-15,00:00,2016-08-15 00:00:00,20160815_chelsea_westham,Chelsea,West Ham,A Taylor,2,1,H,0,0,1,0,0,3,1,16,7,6,3,16,16,7,1,5,2,0,0,8,7,23,32,,,,,,
2016-17,E0,2016-08-19,00:00,2016-08-19 00:00:00,20160819_manunited_southampton,Man United,Southampton,A Taylor,2,0,H,1,0,1,0,0,2,0,12,13,5,1,11,8,4,0,0,0,0,0,4,0,25,19,,,,,,
2016-17,E0,2016-08-20,00:00,2016-08-20 00:00:00,20160820_westbrom_everton,West Brom,Everton,N Swarbrick,1,2,A,1,1,0,0,1,3,1,11,13,4,7,16,10,7,4,3,1,0,0,11,4,24,26,,,,,,
2016-17,E0,2016-08-20,00:00,2016-08-20 00:00:00,20160820_watford_chelsea,Watford,Chelsea,J Moss,1,2,A,0,0,0,0,1,3,1,6,13,2,4,20,10,0,5,4,3,0,0,5,7,19,30,,,,,,
2016-17,E0,2016-08-20,00:00,2016-08-20 00:00:00,20160820_tottenham_crystalpalace,Tottenham,Crystal Palace,M Oliver,1,0,H,0,0,1,0,0,1,0,20,10,5,2,19,9,10,4,3,3,0,0,14,6,30,28,,,,,,
2016-17,E0,2016-08-20,00:00,2016-08-20 00:00:00,20160820_burnley_liverpool,Burnley,Liverpool,L Mason,2,0,H,2,0,1,0,0,2,0,3,26,2,5,14,5,1,12,0,1,0,0,13,1,29,19,,,,,,
2016-17,E0,2016-08-20,00:00,2016-08-20 00:00:00,20160820_stoke_mancity,Stoke,Man City,M Dean,1,4,A,0,2,0,0,1,5,1,8,12,3,6,12,13,7,7,3,4,0,0,14,7,20,25,,,,,,
2016-17,E0,2016-08-20,00:00,2016-08-20 00:00:00,20160820_leicester_arsenal,Leicester,Arsenal,M Clattenburg,0,0,D,0,0,0,1,0,0,0,8,13,1,4,11,7,2,7,1,2,0,0,9,3,21,18,,,,,,
2016-17,E0,2016-08-20,00:00,2016-08-20 00:00:00,20160820_swansea_hull,Swansea,Hull,S Attwell,0,2,A,0,0,0,0,1,2,0,13,12,3,4,7,10,8,3,0,0,0,0,11,0,25,17,,,,,,
2016-17,E0,2016-08-21,00:00,2016-08-21 00:00:00,20160821_sunderland_middlesbrough,Sunderland,Middlesbrough,M Atkinson,1,2,A,0,2,0,0,1,3,1,18,8,5,3,11,14,8,1,1,1,0,0,9,2,26,25,,,,,,
2016-17,E0,2016-08-21,00:00,2016-08-21 00:00:00,20160821_westham_bournemouth,West Ham,Bournemouth,C Pawson,1,0,H,0,0,1,0,0,1,0,15,8,2,5,15,15,1,6,3,1,0,1,7,5,23,30,,,,,,
2016-17,E0,2016-08-27,00:00,2016-08-27 00:00:00,20160827_southampton_sunderland,Southampton,Sunderland,L Mason,1,1,D,0,0,0,1,0,2,0,16,5,7,2,15,8,5,5,2,2,0,0,10,4,21,23,,,,,,
2016-17,E0,2016-08-27,00:00,2016-08-27 00:00:00,20160827_watford_arsenal,Watford,Arsenal,K Friend,1,3,A,0,3,0,0,1,4,1,14,10,6,7,18,15,3,2,6,1,0,0,5,7,24,33,,,,,,
2016-17,E0,2016-08-27,00:00,2016-08-27 00:00:00,20160827_leicester_swansea,Leicester,Swansea,R East,2,1,H,1,0,1,0,0,3,1,13,9,6,3,14,10,4,6,2,2,0,0,10,4,22,24,,,,,,
2016-17,E0,2016-08-27,00:00,2016-08-27 00:00:00,20160827_tottenham_liverpool,Tottenham,Liverpool,R Madley,1,1,D,0,1,0,1,0,2,0,11,13,4,3,11,17,5,5,3,5,0,0,10,8,24,28,,,,,,
2016-17,E0,2016-08-27,00:00,2016-08-27 00:00:00,20160827_everton_stoke,Everton,Stoke,M Oliver,1,0,H,0,0,1,0,0,1,0,21,8,9,1,14,11,9,2,2,1,0,0,11,3,29,25,,,,,,
2016-17,E0,2016-08-27,00:00,2016-08-27 00:00:00,20160827_crystalpalace_bournemouth,Crystal Palace,Bournemouth,M Dean,1,1,D,0,1,0,1,0,2,0,24,10,5,3,15,10,10,4,2,1,0,0,14,3,34,25,,,,,,
2016-17,E0,2016-08-27,00:00,2016-08-27 00:00:00,20160827_hull_manunited,Hull,Man United,J Moss,0,1,A,0,0,0,0,1,1,0,8,29,2,9,9,6,1,6,2,3,0,0,7,5,37,15,,,,,,
2016-17,E0,2016-08-27,00:00,2016-08-27 00:00:00,20160827_chelsea_burnley,Chelsea,Burnley,M Clattenburg,3,0,H,2,0,1,0,0,3,1,22,6,10,0,6,9,9,5,2,2,0,0,14,4,28,15,,,,,,
2016-17,E0,2016-08-28,00:00,2016-08-28 00:00:00,20160828_mancity_westham,Man City,West Ham,A Marriner,3,1,H,2,0,1,0,0,4,1,22,9,5,2,5,10,5,4,1,3,0,0,9,4,31,15,,,,,,
2016-17,E0,2016-08-28,00:00,2016-08-28 00:00:00,20160828_westbrom_middlesbrough,West Brom,Middlesbrough,A Taylor,0,0,D,0,0,0,1,0,0,0,13,7,2,2,12,11,5,4,1,3,0,0,9,4,20,23,,,,,,
2016-17,E0,2016-09-10,00:00,2016-09-10 00:00:00,20160910_arsenal_southampton,Arsenal,Southampton,R Madley,2,1,H,1,1,1,0,0,3,1,17,11,2,5,10,8,6,1,2,5,0,0,7,7,28,18,,,,,,
2016-17,E0,2016-09-10,00:00,2016-09-10 00:00:00,20160910_bournemouth_westbrom,Bournemouth,West Brom,K Friend,1,0,H,0,0,1,0,0,1,0,12,12,5,2,9,11,10,5,1,3,0,0,15,4,24,20,,,,,,
2016-17,E0,2016-09-10,00:00,2016-09-10 00:00:00,20160910_burnley_hull,Burnley,Hull,P Tierney,1,1,D,0,0,0,1,0,2,0,13,11,2,3,13,3,5,9,2,0,0,0,14,2,24,16,,,,,,
2016-17,E0,2016-09-10,00:00,2016-09-10 00:00:00,20160910_liverpool_leicester,Liverpool,Leicester,C Pawson,4,1,H,2,1,1,0,0,5,1,17,12,11,3,4,8,1,7,1,2,0,0,8,3,29,12,,,,,,
2016-17,E0,2016-09-10,00:00,2016-09-10 00:00:00,20160910_manunited_mancity,Man United,Man City,M Clattenburg,1,2,A,1,2,0,0,1,3,1,14,18,3,6,15,10,4,4,4,2,0,0,8,6,32,25,,,,,,
2016-17,E0,2016-09-10,00:00,2016-09-10 00:00:00,20160910_middlesbrough_crystalpalace,Middlesbrough,Crystal Palace,N Swarbrick,1,2,A,1,1,0,0,1,3,1,12,12,4,4,5,9,6,6,1,2,0,0,12,3,24,14,,,,,,
2016-17,E0,2016-09-10,00:00,2016-09-10 00:00:00,20160910_stoke_tottenham,Stoke,Tottenham,A Taylor,0,4,A,0,1,0,0,1,4,1,15,20,2,8,13,18,10,8,3,2,0,0,18,5,35,31,,,,,,
2016-17,E0,2016-09-10,00:00,2016-09-10 00:00:00,20160910_westham_watford,West Ham,Watford,M Atkinson,2,4,A,2,2,0,0,1,6,1,19,13,4,8,10,15,4,4,2,2,0,0,8,4,32,25,,,,,,
2016-17,E0,2016-09-11,00:00,2016-09-11 00:00:00,20160911_swansea_chelsea,Swansea,Chelsea,A Marriner,2,2,D,0,1,0,1,0,4,1,6,28,2,7,17,8,1,11,3,4,0,0,12,7,34,25,,,,,,
2016-17,E0,2016-09-12,00:00,2016-09-12 00:00:00,20160912_sunderland_everton,Sunderland,Everton,M Jones,0,3,A,0,0,0,0,1,3,1,11,20,2,9,11,8,5,4,1,1,0,0,9,2,31,19,,,,,,
2016-17,E0,2016-09-16,00:00,2016-09-16 00:00:00,20160916_chelsea_liverpool,Chelsea,Liverpool,M Atkinson,1,2,A,0,2,0,0,1,3,1,12,13,4,5,6,13,6,4,1,1,0,0,10,2,25,19,,,,,,
2016-17,E0,2016-09-17,00:00,2016-09-17 00:00:00,20160917_everton_middlesbrough,Everton,Middlesbrough,L Mason,3,1,H,3,1,1,0,0,4,1,11,7,6,0,5,15,6,3,2,1,0,0,9,3,18,20,,,,,,
2016-17,E0,2016-09-17,00:00,2016-09-17 00:00:00,20160917_hull_arsenal,Hull,Arsenal,R East,1,4,A,0,1,0,0,1,5,1,6,24,2,9,9,12,2,4,0,2,1,0,6,3,30,21,,,,,,
2016-17,E0,2016-09-17,00:00,2016-09-17 00:00:00,20160917_leicester_burnley,Leicester,Burnley,A Taylor,3,0,H,1,0,1,0,0,3,1,14,7,6,2,10,9,7,1,0,1,0,0,8,1,21,19,,,,,,
2016-17,E0,2016-09-17,00:00,2016-09-17 00:00:00,20160917_mancity_bournemouth,Man City,Bournemouth,J Moss,4,0,H,2,0,1,0,0,4,1,20,6,12,2,8,11,5,5,1,1,1,0,10,3,26,19,,,,,,
2016-17,E0,2016-09-17,00:00,2016-09-17 00:00:00,20160917_westbrom_westham,West Brom,West Ham,M Clattenburg,4,2,H,3,0,1,0,0,6,1,8,23,6,5,14,6,2,6,2,1,0,0,8,3,31,20,,,,,,
2016-17,E0,2016-09-18,00:00,2016-09-18 00:00:00,20160918_crystalpalace_stoke,Crystal Palace,Stoke,C Pawson,4,1,H,2,0,1,0,0,5,1,14,11,8,4,15,9,10,5,2,1,0,0,15,3,25,24,,,,,,
