coach_name,team,start_date,end_date
Arsène Wenger,Arsenal,2015-07-01,2018-05-13
Unai Emery,Arsenal,2018-05-23,2019-11-29
Mikel Arteta,Arsenal,2019-12-22,
Tim Sherwood,Aston Villa,2015-07-01,2015-10-25
Rémi Garde,Aston Villa,2015-11-02,2016-03-29
Dean Smith,Aston Villa,2018-10-10,2021-11-07
Steven Gerrard,Aston Villa,2021-11-11,2022-10-20
Unai Emery,Aston Villa,2022-11-01,
Eddie Howe,Bournemouth,2015-07-01,2020-08-01
Scott Parker,Bournemouth,2021-06-28,2022-08-30
Gary O'Neil,Bournemouth,2022-08-30,2023-06-19
Andoni Iraola,Bournemouth,2023-06-19,
Thomas Frank,Brentford,2018-10-16,2025-06-12
Keith Andrews,Brentford,2025-06-27,
Chris Hughton,Brighton & Hove Albion,2015-07-01,2019-05-13
Graham Potter,Brighton & Hove Albion,2019-05-20,2022-09-08
Roberto De Zerbi,Brighton & Hove Albion,2022-09-18,2024-05-19
Fabian Hürzeler,Brighton & Hove Albion,2024-07-02,
Sean Dyche,Burnley,2015-07-01,2022-04-15
Vincent Kompany,Burnley,2022-06-14,2024-05-29
Scott Parker,Burnley,2024-07-05,
Neil Warnock,Cardiff City,2016-10-05,2019-11-11
José Mourinho,Chelsea,2015-07-01,2015-12-17
Antonio Conte,Chelsea,2016-07-03,2018-07-13
Maurizio Sarri,Chelsea,2018-07-14,2019-06-16
Frank Lampard,Chelsea,2019-07-04,2021-01-25
Thomas Tuchel,Chelsea,2021-01-26,2022-09-07
Graham Potter,Chelsea,2022-09-08,2023-04-02
Mauricio Pochettino,Chelsea,2023-07-01,2024-05-21
Enzo Maresca,Chelsea,2024-07-01,2026-01-01
Liam Rosenior,Chelsea,2026-01-08,
Alan Pardew,Crystal Palace,2015-07-01,2016-12-22
Sam Allardyce,Crystal Palace,2016-12-23,2017-05-23
Frank de Boer,Crystal Palace,2017-06-26,2017-09-11
Roy Hodgson,Crystal Palace,2017-09-12,2021-05-24
Patrick Vieira,Crystal Palace,2021-07-04,2023-03-17
Roy Hodgson,Crystal Palace,2023-03-21,2024-02-19
Oliver Glasner,Crystal Palace,2024-02-19,
Roberto Martínez,Everton,2015-07-01,2016-05-12
Ronald Koeman,Everton,2016-06-14,2017-10-23
Sam Allardyce,Everton,2017-11-30,2018-05-16
Marco Silva,Everton,2018-05-31,2019-12-05
Carlo Ancelotti,Everton,2019-12-22,2021-06-01
Rafael Benítez,Everton,2021-06-30,2022-01-16
Frank Lampard,Everton,2022-01-31,2023-01-23
Sean Dyche,Everton,2023-01-30,2025-01-09
David Moyes,Everton,2025-01-11,
Slaviša Jokanović,Fulham,2015-12-27,2018-11-14
Claudio Ranieri,Fulham,2018-11-14,2019-02-28
Scott Parker,Fulham,2019-02-28,2021-06-28
Marco Silva,Fulham,2021-07-01,
David Wagner,Huddersfield Town,2015-11-09,2019-01-14
Jan Siewert,Huddersfield Town,2019-01-21,2019-08-16
Steve Bruce,Hull City,2015-07-01,2016-07-22
Mike Phelan,Hull City,2016-07-22,2017-01-03
Marco Silva,Hull City,2017-01-05,2017-05-25
Kieran McKenna §,Ipswich Town,2021-12-16,
Marcelo Bielsa,Leeds United,2018-06-15,2022-02-27
Jesse Marsch,Leeds United,2022-02-28,2023-02-06
Javi Gracia,Leeds United,2023-02-21,2023-05-03
Sam Allardyce,Leeds United,2023-05-03,2023-06-02
Daniel Farke,Leeds United,2023-07-04,
Claudio Ranieri,Leicester City,2015-07-13,2017-02-23
Craig Shakespeare,Leicester City,2017-02-23,2017-10-17
Claude Puel,Leicester City,2017-10-25,2019-02-24
Brendan Rodgers,Leicester City,2019-02-27,2023-04-02
