Div,Date,HomeTeam,AwayTeam,Referee,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,season,source_file,Time,AvgH,AvgD,AvgA,MaxH,MaxD,MaxA,kickoff,match_id,home_win,draw,away_win,total_goals,over_2_5,total_corners,total_sot,total_fouls,total_cards
E0,2016-08-13,Burnley,Swansea,J Moss,0,1,A,0,0,10,17,3,9,10,14,7,4,3,2,0,0,2016-17,EPL_2016-17.csv,00:00,,,,,,,2016-08-13 00:00:00,20160813_burnley_swansea,0,0,1,1.0,0,11.0,12.0,24.0,5.0
E0,2016-08-13,Crystal Palace,West Brom,C Pawson,0,1,A,0,0,14,13,4,3,12,15,3,6,2,2,0,0,2016-17,EPL_2016-17.csv,00:00,,,,,,,2016-08-13 00:00:00,20160813_crystalpalace_westbrom,0,0,1,1.0,0,9.0,7.0,27.0,4.0
E0,2016-08-13,Everton,Tottenham,M Atkinson,1,1,D,1,0,12,13,6,4,10,14,5,6,0,0,0,0,2016-17,EPL_2016-17.csv,00:00,,,,,,,2016-08-13 00:00:00,20160813_everton_tottenham,0,1,0,2.0,0,11.0,10.0,24.0,0.0
E0,2016-08-13,Hull,Leicester,M Dean,2,1,H,1,0,14,18,5,5,8,17,5,3,2,2,0,0,2016-17,EPL_2016-17.csv,00:00,,,,,,,2016-08-13 00:00:00,20160813_hull_leicester,1,0,0,3.0,1,8.0,10.0,25.0,4.0
E0,2016-08-13,Man City,Sunderland,R Madley,2,1,H,1,0,16,7,4,3,11,14,9,6,1,2,0,0,2016-17,EPL_2016-17.csv,00:00,,,,,,,2016-08-13 00:00:00,20160813_mancity_sunderland,1,0,0,3.0,1,15.0,7.0,25.0,3.0
E0,2016-08-13,Middlesbrough,Stoke,K Friend,1,1,D,1,0,12,12,2,1,18,14,9,6,3,5,0,0,2016-17,EPL_2016-17.csv,00:00,,,,,,,2016-08-13 00:00:00,20160813_middlesbrough_stoke,0,1,0,2.0,0,15.0,3.0,32.0,8.0
E0,2016-08-13,Southampton,Watford,R East,1,1,D,0,1,24,5,6,1,8,12,6,2,1,2,0,1,2016-17,EPL_2016-17.csv,00:00,,,,,,,2016-08-13 00:00:00,20160813_southampton_watford,0,1,0,2.0,0,8.0,7.0,20.0,4.0
E0,2016-08-14,Arsenal,Liverpool,M Oliver,3,4,A,1,1,9,16,5,7,13,17,5,4,3,3,0,0,2016-17,EPL_2016-17.csv,00:00,,,,,,,2016-08-14 00:00:00,20160814_arsenal_liverpool,0,0,1,7.0,1,9.0,12.0,30.0,6.0
E0,2016-08-14,Bournemouth,Man United,A Marriner,1,3,A,0,1,9,11,3,7,7,10,4,2,0,1,0,0,2016-17,EPL_2016-17.csv,00:00,,,,,,,2016-08-14 00:00:00,20160814_bournemouth_manunited,0,0,1,4.0,1,6.0,10.0,17.0,1.0
E0,2016-08-15,Chelsea,West Ham,A Taylor,2,1,H,0,0,16,7,6,3,16,16,7,1,5,2,0,0,2016-17,EPL_2016-17.csv,00:00,,,,,,,2016-08-15 00:00:00,20160815_chelsea_westham,1,0,0,3.0,1,8.0,9.0,32.0,7.0
E0,2016-08-19,Man United,Southampton,A Taylor,2,0,H,1,0,12,13,5,1,11,8,4,0,0,0,0,0,2016-17,EPL_2016-17.csv,00:00,,,,,,,2016-08-19 00:00:00,20160819_manunited_southampton,1,0,0,2.0,0,4.0,6.0,19.0,0.0
E0,2016-08-20,Swansea,Hull,S Attwell,0,2,A,0,0,13,12,3,4,7,10,8,3,0,0,0,0,2016-17,EPL_2016-17.csv,00:00,,,,,,,2016-08-20 00:00:00,20160820_swansea_hull,0,0,1,2.0,0,11.0,7.0,17.0,0.0
E0,2016-08-20,Leicester,Arsenal,M Clattenburg,0,0,D,0,0,8,13,1,4,11,7,2,7,1,2,0,0,2016-17,EPL_2016-17.csv,00:00,,,,,,,2016-08-20 00:00:00,20160820_leicester_arsenal,0,1,0,0.0,0,9.0,5.0,18.0,3.0
E0,2016-08-20,Stoke,Man City,M Dean,1,4,A,0,2,8,12,3,6,12,13,7,7,3,4,0,0,2016-17,EPL_2016-17.csv,00:00,,,,,,,2016-08-20 00:00:00,20160820_stoke_mancity,0,0,1,5.0,1,14.0,9.0,25.0,7.0
E0,2016-08-20,West Brom,Everton,N Swarbrick,1,2,A,1,1,11,13,4,7,16,10,7,4,3,1,0,0,2016-17,EPL_2016-17.csv,00:00,,,,,,,2016-08-20 00:00:00,20160820_westbrom_everton,0,0,1,3.0,1,11.0,11.0,26.0,4.0
E0,2016-08-20,Tottenham,Crystal Palace,M Oliver,1,0,H,0,0,20,10,5,2,19,9,10,4,3,3,0,0,2016-17,EPL_2016-17.csv,00:00,,,,,,,2016-08-20 00:00:00,20160820_tottenham_crystalpalace,1,0,0,1.0,0,14.0,7.0,28.0,6.0
E0,2016-08-20,Watford,Chelsea,J Moss,1,2,A,0,0,6,13,2,4,20,10,0,5,4,3,0,0,2016-17,EPL_2016-17.csv,00:00,,,,,,,2016-08-20 00:00:00,20160820_watford_chelsea,0,0,1,3.0,1,5.0,6.0,30.0,7.0
E0,2016-08-20,Burnley,Liverpool,L Mason,2,0,H,2,0,3,26,2,5,14,5,1,12,0,1,0,0,2016-17,EPL_2016-17.csv,00:00,,,,,,,2016-08-20 00:00:00,20160820_burnley_liverpool,1,0,0,2.0,0,13.0,7.0,19.0,1.0
E0,2016-08-21,Sunderland,Middlesbrough,M Atkinson,1,2,A,0,2,18,8,5,3,11,14,8,1,1,1,0,0,2016-17,EPL_2016-17.csv,00:00,,,,,,,2016-08-21 00:00:00,20160821_sunderland_middlesbrough,0,0,1,3.0,1,9.0,8.0,25.0,2.0
E0,2016-08-21,West Ham,Bournemouth,C Pawson,1,0,H,0,0,15,8,2,5,15,15,1,6,3,1,0,1,2016-17,EPL_2016-17.csv,00:00,,,,,,,2016-08-21 00:00:00,20160821_westham_bournemouth,1,0,0,1.0,0,7.0,7.0,30.0,5.0
E0,2016-08-27,Crystal Palace,Bournemouth,M Dean,1,1,D,0,1,24,10,5,3,15,10,10,4,2,1,0,0,2016-17,EPL_2016-17.csv,00:00,,,,,,,2016-08-27 00:00:00,20160827_crystalpalace_bournemouth,0,1,0,2.0,0,14.0,8.0,25.0,3.0
E0,2016-08-27,Chelsea,Burnley,M Clattenburg,3,0,H,2,0,22,6,10,0,6,9,9,5,2,2,0,0,2016-17,EPL_2016-17.csv,00:00,,,,,,,2016-08-27 00:00:00,20160827_chelsea_burnley,1,0,0,3.0,1,14.0,10.0,15.0,4.0
E0,2016-08-27,Everton,Stoke,M Oliver,1,0,H,0,0,21,8,9,1,14,11,9,2,2,1,0,0,2016-17,EPL_2016-17.csv,00:00,,,,,,,2016-08-27 00:00:00,20160827_everton_stoke,1,0,0,1.0,0,11.0,10.0,25.0,3.0
E0,2016-08-27,Hull,Man United,J Moss,0,1,A,0,0,8,29,2,9,9,6,1,6,2,3,0,0,2016-17,EPL_2016-17.csv,00:00,,,,,,,2016-08-27 00:00:00,20160827_hull_manunited,0,0,1,1.0,0,7.0,11.0,15.0,5.0
E0,2016-08-27,Leicester,Swansea,R East,2,1,H,1,0,13,9,6,3,14,10,4,6,2,2,0,0,2016-17,EPL_2016-17.csv,00:00,,,,,,,2016-08-27 00:00:00,20160827_leicester_swansea,1,0,0,3.0,1,10.0,9.0,24.0,4.0
E0,2016-08-27,Watford,Arsenal,K Friend,1,3,A,0,3,14,10,6,7,18,15,3,2,6,1,0,0,2016-17,EPL_2016-17.csv,00:00,,,,,,,2016-08-27 00:00:00,20160827_watford_arsenal,0,0,1,4.0,1,5.0,13.0,33.0,7.0
E0,2016-08-27,Tottenham,Liverpool,R Madley,1,1,D,0,1,11,13,4,3,11,17,5,5,3,5,0,0,2016-17,EPL_2016-17.csv,00:00,,,,,,,2016-08-27 00:00:00,20160827_tottenham_liverpool,0,1,0,2.0,0,10.0,7.0,28.0,8.0
E0,2016-08-27,Southampton,Sunderland,L Mason,1,1,D,0,0,16,5,7,2,15,8,5,5,2,2,0,0,2016-17,EPL_2016-17.csv,00:00,,,,,,,2016-08-27 00:00:00,20160827_southampton_sunderland,0,1,0,2.0,0,10.0,9.0,23.0,4.0
E0,2016-08-28,Man City,West Ham,A Marriner,3,1,H,2,0,22,9,5,2,5,10,5,4,1,3,0,0,2016-17,EPL_2016-17.csv,00:00,,,,,,,2016-08-28 00:00:00,20160828_mancity_westham,1,0,0,4.0,1,9.0,7.0,15.0,4.0
E0,2016-08-28,West Brom,Middlesbrough,A Taylor,0,0,D,0,0,13,7,2,2,12,11,5,4,1,3,0,0,2016-17,EPL_2016-17.csv,00:00,,,,,,,2016-08-28 00:00:00,20160828_westbrom_middlesbrough,0,1,0,0.0,0,9.0,4.0,23.0,4.0
E0,2016-09-10,Arsenal,Southampton,R Madley,2,1,H,1,1,17,11,2,5,10,8,6,1,2,5,0,0,2016-17,EPL_2016-17.csv,00:00,,,,,,,2016-09-10 00:00:00,20160910_arsenal_southampton,1,0,0,3.0,1,7.0,7.0,18.0,7.0
