raw_match_team,suggested_manager_team,match_type
Arsenal,Arsenal,exact_norm
Aston Villa,Aston Villa,exact_norm
Bournemouth,Bournemouth,exact_norm
Brentford,Brentford,exact_norm
Brighton,Brighton & Hove Albion,unmatched
Burnley,Burnley,exact_norm
Cardiff,Cardiff City,unmatched
Chelsea,Chelsea,exact_norm
Crystal Palace,Crystal Palace,exact_norm
Everton,Everton,exact_norm
Fulham,Fulham,exact_norm
Huddersfield,Huddersfield Town,fuzzy_norm
Hull,Hull City,unmatched
Leeds,Leeds United,unmatched
Leicester,Leicester City,unmatched
Liverpool,Liverpool,exact_norm
Man City,Manchester City,unmatched
Man United,Manchester United,unmatched
Middlesbrough,Middlesbrough,exact_norm
Newcastle,Newcastle United,unmatched
Norwich,Norwich City,unmatched
Nott'm Forest,Nottingham Forest,fuzzy_norm
Sheffield United,Sheffield United,exact_norm
Southampton,Southampton,exact_norm
Stoke,Stoke City,unmatched
Sunderland,Sunderland,exact_norm
Swansea,Swansea City,unmatched
Tottenham,Tottenham Hotspur,unmatched
Watford,Watford,exact_norm
West Brom,West Bromwich Albion,unmatched
West Ham,West Ham United,unmatched
Wolves,Wolverhampton Wanderers,unmatched
